序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,总市值,流通市值,涨速,5分钟涨跌,60日涨跌幅,年初至今涨跌幅
1,301516,N中远通,28.6,316.3,21.73,483749.0,1540148632.73,127.51,36.76,28.0,30.3,6.87,,78.19,99.08,5.47,8028070193.0,1769505852.0,-0.45,-1.52,316.3,316.3
2,837821,则成电子,16.77,30.0,3.87,81566.0,127048570.45,29.77,16.77,12.93,13.36,12.9,3.29,44.67,47.17,2.38,1183841357.0,306238530.0,0.0,0.0,102.29,101.32
3,430564,天润科技,15.0,29.98,3.46,63857.0,95461030.43,8.67,15.0,14.0,15.0,11.54,1.88,31.62,-100.23,3.67,1108575270.0,302934525.0,0.0,0.0,158.18,142.33
4,832802,保丽洁,13.84,29.95,3.19,85498.0,116492429.39,14.46,13.84,12.3,13.13,10.65,3.37,53.29,55.32,2.15,873072872.0,222066952.0,0.0,0.0,120.03,4.77
5,832145,恒合股份,8.64,29.92,1.99,40677.0,35145083.52,0.0,8.64,8.64,8.64,6.65,1.98,9.07,-56.22,2.2,609552000.0,387307440.0,0.0,0.0,84.22,77.05
6,300742,*ST越博,6.53,20.04,1.09,333870.0,207849724.52,20.77,6.53,5.4,5.43,5.44,3.26,28.99,-5.38,-4.23,922672192.0,752051729.0,0.0,0.0,14.36,-35.35
7,688195,腾景科技,40.26,20.0,6.71,161234.0,610039502.0,15.56,40.26,35.04,35.04,33.55,2.82,19.7,125.24,5.84,5207631000.0,3294878400.0,0.0,0.0,5.7,77.2
8,832876,慧为智能,13.5,18.11,2.07,69861.0,93855504.95,27.56,14.85,11.7,11.7,11.43,2.44,32.91,79.8,3.41,866438897.0,286617920.0,0.0,-0.52,87.5,110.61
9,300394,天孚通信,98.15,17.84,14.86,372411.0,3461376230.55,19.25,99.95,83.92,83.95,83.29,1.83,10.3,66.2,13.41,38758137163.0,35482680565.0,-1.68,-1.79,28.81,294.97
10,300548,博创科技,31.88,17.12,4.66,574354.0,1760579653.28,15.72,32.66,28.38,28.5,27.22,4.97,25.1,55.99,4.19,9119100828.0,7296255476.0,-0.06,-0.38,10.39,91.24
11,300456,赛微电子,24.42,15.79,3.33,804876.0,1898369481.24,18.82,25.08,21.11,21.11,21.09,6.74,13.78,1096.08,3.59,17912000012.0,14262161562.0,-0.33,0.08,7.01,65.22
12,872374,云里物里,12.74,14.47,1.61,69707.0,87941790.32,28.03,14.16,11.04,11.43,11.13,2.44,23.01,35.76,4.18,1038539320.0,385948133.0,-0.47,-1.01,60.25,45.77
13,688498,源杰科技,181.63,14.32,22.75,43556.0,753786392.0,17.33,186.0,158.47,158.49,158.88,2.19,21.5,538.84,7.27,15409234918.0,3679564069.0,-0.01,0.87,19.02,113.91
14,301383,天键股份,47.62,14.31,5.96,89981.0,416086919.8,15.15,48.49,42.18,42.6,41.66,6.76,32.65,37.84,3.01,5535348800.0,1312458725.0,0.0,-0.23,22.54,3.16
15,835508,殷图网联,12.85,12.82,1.46,47959.0,58312300.23,14.84,12.9,11.21,11.43,11.39,1.92,18.42,-275.65,3.13,642500000.0,334581875.0,0.0,0.39,109.62,118.17
16,837212,智新电子,9.38,12.61,1.05,72086.0,64227509.93,16.93,9.53,8.12,8.5,8.33,1.87,13.82,54.84,2.48,995218000.0,489415570.0,0.0,0.21,89.88,38.14
17,300308,中际旭创,117.5,12.58,13.13,628438.0,7103915957.8,13.29,119.9,106.03,107.86,104.37,2.05,8.38,54.6,6.95,94332082965.0,88149129800.0,0.4,0.49,10.53,337.94
18,831010,凯添燃气,5.64,12.35,0.62,242320.0,138374872.09,20.72,6.21,5.17,5.35,5.02,2.68,15.04,22.23,2.08,1322580000.0,908988101.0,0.0,-1.23,62.07,55.37
19,430478,峆一药业,27.88,12.1,3.01,66103.0,177352727.14,17.37,28.94,24.62,25.2,24.87,1.44,34.4,20.88,2.5,1119591100.0,535784569.0,0.18,1.71,69.38,8.74
20,871970,大禹生物,5.8,11.97,0.62,99566.0,54374446.38,16.6,5.88,5.02,5.18,5.18,2.02,18.89,-76.96,2.06,645890320.0,305685520.0,0.17,0.0,72.11,55.5
